状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
疑似未用-当前已打包,assets/Images/表情/10/feiwen_tex.json,data,734,1050,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/9/bishi_tex.json,data,684,987,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/3/xiyuetiao_tex.json,data,577,860,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/Images/表情/8/dianzan_tex.json,data,568,849,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/10.prefab,prefab,2436,767,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/9.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/8.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/7.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/6.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/5.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/4.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/3.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/2.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情---/1.prefab,prefab,2435,765,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/10.prefab,prefab,2464,726,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/9.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/8.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/7.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/6.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/5.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/4.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/3.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/2.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/表情/1.prefab,prefab,2463,724,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/DefCtl/Lable.prefab,prefab,2360,681,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-当前已打包,assets/resources/cc-inspector.json,data,61,153,resources,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/转盘动画2/zhuanpan0311_tex.png,image,745046,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/登陆/背景.png,image,625873,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/动画/大厅LOGO动画/logo_tex.png,image,607816,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/公用/框.png,image,381754,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/游戏内/biankuang.png,image,326496,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/动画/zhuanpan_dongxioa_tex.png,image,314122,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/顶部Banner.png,image,307452,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/动画/报奖-old/ui_bigwin_tex.png,image,198431,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/我的/我的背景.png,image,188331,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/动画/敲/touxiangkuang_tex.png,image,176509,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/转盘3.png,image,169955,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/转盘1.png,image,166367,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/大厅底图.png,image,164467,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/转盘动画2/zhuanpan0311_ske.json,data,131980,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/我的/个人数据框.png,image,117141,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/底部底板.png,image,74672,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/启动图标.png,image,69774,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/推广/11.png,image,62521,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/加入房间/弹窗.png,image,58533,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/动画/导航按钮动画/MainButton_backup_tex.png,image,50901,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/状态2.png,image,43199,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/状态1.png,image,43199,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/Images/奖池/奖池bg.png,image,43134,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/游戏内/底池背景.png,image,37604,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/战绩详情/房间信息底板.png,image,34531,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/Images/奖池/pxjlbl.png,image,33421,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/公用/背景1.png,image,33349,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/大中小底框.png,image,31337,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/帽子.png,image,30191,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/奖池/框1.png,image,29771,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/动画/zhuanpan_dongxioa_ske.json,data,29476,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/大厅.png,image,26599,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/框.png,image,26254,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/大厅2.png,image,21417,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/动画/报奖-old/ui_bigwin_ske.json,data,19958,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/Images/表情图标/愤怒拿刀.png,image,19703,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/战绩详情/数据底框.png,image,19620,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/temp/选择银行.prefab,prefab,19565,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/2.png,image,19016,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/游戏内/额外/奖池底框.png,image,18634,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/我的/头像.png,image,18554,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/图标.png,image,18107,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/imagesKK/游戏大厅/排行榜.png,image,16909,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/表情/流汗/3_3.png,image,16685,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/表情/流汗/3_0.png,image,16685,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesLuck/游戏内/充值.png,image,16638,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/代理/提取记录按钮.png,image,16522,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/按钮灰.png,image,16501,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
疑似未用-源码残留,assets/ImagesXYPK/转盘/按钮.png,image,16480,0,,未被入口 UUID 依赖、可达脚本字面量或已知动态资源族命中
