状态,源文件,类型,源文件字节,当前构建归属字节,构建分包,判定说明
动态保留,assets/resources/other/支付完成.png,image,856,1129,resources,牌局记录状态值动态图片，来自 assets/scripts/UI/panelGameView.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/Prefabs/头像.prefab,prefab,7446,957,resources,动态 prefab 名 头像，来自 assets/scripts/UI/panelMain.ts
动态保留,assets/resources/other/已完成.png,image,673,941,resources,牌局记录状态值动态图片，来自 assets/scripts/UI/panelGameView.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/other/审核中.png,image,636,904,resources,牌局记录状态值动态图片，来自 assets/scripts/UI/panelGameView.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/other/处理中.png,image,632,900,resources,牌局记录状态值动态图片，来自 assets/scripts/UI/panelGameView.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/道具/钓鱼3.anim,animation,1793,889,resources,动态字面量 道具/钓鱼3，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/炸弹2.anim,animation,1812,817,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/干杯2.anim,animation,1811,816,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/屎2.anim,animation,1805,810,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/钓鱼2.anim,animation,1460,738,resources,动态字面量 道具/钓鱼2，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/炸弹1.anim,animation,1516,719,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/屎1.anim,animation,1508,711,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/Prefabs/聊天对象.prefab,prefab,2734,706,resources,动态字面量 Prefabs/聊天对象，来自 assets/scripts/UI/panelTalk.ts；动态字面量 Prefabs/聊天对象，来自 assets/scripts/logic/DrhLogicMgr.ts
动态保留,assets/resources/道具/抓鸡1.anim,animation,1516,703,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/干杯1.anim,animation,1511,698,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/亲嘴1.anim,animation,1511,698,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/Nice2.anim,animation,1509,696,resources,动态字面量 道具/Nice2，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/Nice1.anim,animation,1664,635,resources,动态字面量 道具/Nice1，来自 assets/scripts/logic/DaojuManager.ts；道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/other/nameconfig.txt,data,479,590,resources,动态字面量 other/nameconfig，来自 assets/scripts/logic/DrhNameManager.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelGameView.ts；牌局记录状态值动态图片，来自 assets/scripts/UI/panelRecordInfo.ts
动态保留,assets/resources/表情2/10.prefab,prefab,2393,550,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/9.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/8.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/7.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/6.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/5.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/4.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/3.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/2.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/表情2/1.prefab,prefab,2393,549,resources,表情编号动态加载，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/Prefabs/drh/coin.prefab,prefab,2074,521,resources,动态字面量 Prefabs/drh/coin，来自 assets/scripts/logic/DrhLogicMgr.ts；动态字面量 Prefabs/drh/coin，来自 assets/scripts/logic/DrhPlayerLogic.ts
动态保留,assets/resources/Prefabs/道具对象.prefab,prefab,2264,492,resources,动态字面量 Prefabs/道具对象，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/大拇指1.anim,animation,769,427,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/道具/鲨鱼1.anim,animation,583,332,resources,道具名称动态加载，来自 assets/scripts/logic/DaojuManager.ts
动态保留,assets/resources/version.manifest,data,184,284,resources,动态字面量 version.manifest已存在!，来自 assets/scripts/UI/panelUpdate.ts
动态保留,assets/scripts/test/crypto-js.js,script,198114,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/kbe_scripts/kbengine.js,script,132156,0,,KBEngine 实体类型按名称动态装载，来自 assets/scripts/GameDataManager.ts；KBEngine 实体类型按名称动态装载，来自 assets/scripts/kbe_scripts/kbengine.js；脚本导入自 assets/scripts/GameDataManager.ts；脚本导入自 assets/scripts/UI/panelCloudNotify.ts；脚本导入自 assets/scripts/UI/panelGameView.ts；脚本导入自 assets/scripts/UI/panelGivePad.ts；脚本导入自 assets/scripts/UI/panelHongli.ts；脚本导入自 assets/scripts/UI/panelLogin.ts；脚本导入自 assets/scripts/UI/panelMain.ts；脚本导入自 assets/scripts/UI/panelManager.ts；脚本导入自 assets/scripts/UI/panelPaihangbang.ts；脚本导入自 assets/scripts/UI/panelQianBao.ts；脚本导入自 assets/scripts/UI/panelRecordInfo.ts；脚本导入自 assets/scripts/UI/panelRecordList.ts；脚本导入自 assets/scripts/UI/panelTalk.ts；脚本导入自 assets/scripts/UI/panelUserInfo.ts；脚本导入自 assets/scripts/UI/panelVipInfo.ts；脚本导入自 assets/scripts/common/UIViewBase.ts；脚本导入自 assets/scripts/kbe_scripts/Account.js；脚本导入自 assets/scripts/kbe_scripts/Item.js；脚本导入自 assets/scripts/logic/ConfigManager.ts；脚本导入自 assets/scripts/logic/DrhLogicMgr.ts；脚本导入自 assets/scripts/logic/DrhPlayerLogic.ts；脚本导入自 assets/scripts/logic/ImageManager.ts；脚本导入自 assets/scripts/mobile/MobileManager.ts
动态保留,assets/scripts/UI/panelJiangli.ts,script,37906,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/cipher-core.js,script,29650,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/UI/qrcode.js,script,27239,0,,Cocos 脚本合包或全局模块，保守保留
动态保留,assets/scripts/test/tripledes.js,script,24878,0,,Cocos 脚本合包或全局模块，保守保留
